行号,本地化键名,原文,原译文,现译文
2240,advancements.thebetweenlands.survivalist.pyromaniac.description,Set Moss on fire with an Octine ingot,用炽炎铁锭点燃苔藓,用炽金锭点燃苔藓
2248,advancements.thebetweenlands.survivalist.onions_have_layers.description,Coat your tools against corrosion,用痂壳晶包裹、保护你的工具,用痂晶包裹、保护你的工具
2249,advancements.thebetweenlands.survivalist.hashtag_blessed.title,#Blessed,#护佑,护佑吾身
2250,advancements.thebetweenlands.survivalist.hashtag_blessed.description,Get saved by the Blessed effect from a Simulacrum,被雕像提供的护佑效果所拯救,被拟像提供的护佑效果所拯救
2257,advancements.thebetweenlands.craftsman.root.title,Craftsman,沼泽工匠,制造匠
2264,advancements.thebetweenlands.craftsman.efficiency.description,Create a Dual Sulfur Furnace,合成双重硫磺熔炉,合成双联硫磺熔炉
2266,advancements.thebetweenlands.craftsman.freebies.description,Obtain extra ingots using Limestone Flux,使用石灰粉熔炼矿石得到额外的金属锭,配合石灰粉熔炼矿石得到额外的金属锭
2301,advancements.thebetweenlands.miner.root.title,Miner,沼泽矿工,采矿工
2306,advancements.thebetweenlands.miner.new_shinies.description,Obtain a Syrmorite or Octine Ingot,获得一块赛摩铜锭或炽炎铁锭,获得一块赛摩锭或炽金锭
2311,advancements.thebetweenlands.miner.get_schwifty.title,Get Schwifty,像Schwifty一样迅捷,释放快感
