Key,en_us,zh_cn-old,zh_cn
block.evilcraft.dark_tank,Dark Tank,暗黑液体罐,暗黑流体罐
block.evilcraft.dark_tank.info,Place in crafting grid with other tanks to increase capacity. Shift + Right click to auto-supply.,叠加合成增加容量。shift+右击切换是否自动补给。,与其他流体罐合成以增加容量。Shift右击以切换自动补给。
block.evilcraft.sanguinary_pedestal_0.info,Drains blood from blood stains in the area.,从区域内的血迹中提取血液。,从附近的血迹中提取血液。
block.evilcraft.sanguinary_pedestal_1.info,Drains more blood from blood stains in the area.,从区域内的血迹中提取更多血液。,从附近的血迹中提取更多血液。
block.evilcraft.spiked_plate.info,"Damages mobs, place on Pedestal to drain blood.",对生物造成伤害，放置在基座上时会生产血。,对生物造成伤害，放置在基座上以提取血液。
block.evilcraft.spirit_reanimator.info,Revive Vengeance Spirits.,可以以蛋的形式复活复仇之魂。,复活复仇之魂。
block.evilcraft.spirit_reanimator.help.invalid,Unable to reanimate,无法赋予生命,无法再生
block.evilcraft.spirit_reanimator.help.invalid.no_entity,"Invalid, empty or no box",无效、没有或空的灵魂箱,缺少永锢之匣、永锢之匣无效或为空
block.evilcraft.spirit_reanimator.help.invalid.invalid_entity,No spawn egg available for mob,这个生物没有可用的刷怪蛋,生物没有可用的刷怪蛋
block.evilcraft.spirit_reanimator.help.invalid.different_egg,Remove the different mob eggs,请移除其他刷怪蛋,移除种类不同的刷怪蛋
block.evilcraft.entangled_chalice.info,Contents of entangled chalices are omnipresent.\nShift + Right click to omni-supply.,穿越世界的纠缠，两个杯子将共享液体。\nshift+右击切换自动补给。,同组纠缠圣杯将共享流体存储。\nShift右击以切换自动补给。
block.evilcraft.entangled_chalice.info.id,Group: %s,组ID：%s,组：%s
block.evilcraft.gem_stone_torch,Gemstone Torch,暗黑火把,宝石火把
block.evilcraft.gem_stone_torch.info,Blocks Vengeance Spirit spawning in a radius of 15 blocks.,复仇之魂不会在暗黑火把15格范围内产生。,阻止复仇之魂在15格半径内生成。
block.evilcraft.blood_waxed_coal_block,Block of Blood-Waxed Coal,血蜡煤块,覆血煤块
block.evilcraft.reinforced_undead_planks,Reinforced Undead Plank,强化亡灵木木板,强化亡灵木板
block.evilcraft.sanguinary_environmental_accumulator,Sanguinary Environmental Acc.,血腥环境存储器,血腥环境蓄积器
block.evilcraft.sanguinary_environmental_accumulator.info,Craftable Environmental Accumulator,人造的环境存储器,可合成的环境蓄积器
block.evilcraft.dark_brick_stairs,Dark Brick Stairs,黑砖楼梯,暗黑砖楼梯
block.evilcraft.dark_blood_brick_stairs,Dark Blood Brick Stairs,沾满血的黑砖楼梯,暗黑血砖楼梯
block.evilcraft.infested_nether_netherrack,Infested Netherrack,下界岩怪物蛋,虫蚀下界岩
block.evilcraft.infested_nether_nether_bricks,Infested Nether Bricks,下界砖块怪物蛋,虫蚀下界砖块
block.evilcraft.infested_nether_soul_sand,Infested Soul Sand,灵魂沙怪物蛋,虫蚀灵魂沙
item.evilcraft.redstone_grenade,Redstone Grenade,红石脉冲弹,红石手榴弹
item.evilcraft.blood_extractor.info,Hold in inventory when slaying mobs.\nShift + Right click to extract or auto-supply.,放在背包，杀死生物时会收集血液。\nShift+右击切换自动补给。,放在物品栏，杀死生物时会收集血液。\nShift右击以切换自动补给。
item.evilcraft.blood_pearl_of_teleportation,Blood Pearl of Teleportation,血能末影珍珠,血能传送珍珠
item.evilcraft.hardened_blood_shard,Hardened Blood Shard,干血碎片,硬化血液碎片
item.evilcraft.hardened_blood_shard.info,Break Hardened Blood with Flint and Steel.,在血块上使用打火石可以获得。,使用打火石破坏硬化血液获得。
item.evilcraft.dark_power_gem.info,Throw a Dark Gem in the middle of a pool with at least five non-hardened Blood blocks. Or infuse a Dark Gem with blood.,将暗黑宝石投入至少5格的流动血液中，或者用血能注入器将血能注入暗黑宝石。,将暗黑宝石丢入至少存在5格血液的流体池中。或在血能注入器中用血液灌注暗黑宝石。
item.evilcraft.blood_container.info,DEPRECATED! Place in crafting grid to convert to a Dark Tank.,不推荐使用！请合成转换为暗黑液体罐。,已弃用！请通过合成转换为暗黑流体罐。
item.evilcraft.blood_container.info.autoSupply,Auto-supply: %s,自动补给模式：%s,自动补给：%s
item.evilcraft.werewolf_fur,Werewolf Fur,狼人皮,狼人毛皮
item.evilcraft.blook.info,Can absorb item enchants when placed in the Purifier.,放入净化器中可以吸收物品的附魔。,放入净化器中可以吸收物品的魔咒。
item.evilcraft.potentia_sphere,Potentia Sphere,神秘球,潜能球
item.evilcraft.potentia_sphere.info,Infuse with blood to make an Ender Pearl.,注入血液会变成末影珍珠。,注入血液以制作末影珍珠。
item.evilcraft.inverted_potentia,Inverted Potentia,暗黑能量球,逆位潜能球
item.evilcraft.inverted_potentia.info,Strike with lightning to empower.,用闪电可以充能。,雷击以充能。
item.evilcraft.inverted_potentia_empowered,Empowered Inverted Potentia,充能的暗黑能量球,充能逆位潜能球
item.evilcraft.mace_of_distortion,Mace of Distortion,扭曲立场锤,扭曲重锤
item.evilcraft.kineticator,Kineticator,磁场魔杖,牵引魔杖
item.evilcraft.kineticator.info,Shift + Right click to toggle attraction.\nRight click to change area., Shift+右击开启魔杖。\n右击改变作用面积。, Shift右击以开关吸引功能。\n右击更改作用范围。
item.evilcraft.kineticator_repelling,Repelling Kineticator,反磁场魔杖,排斥魔杖
item.evilcraft.kineticator_repelling.info,Shift + Right click to toggle repelling.\nRight click to change area., Shift+右击开启魔杖。\n右击改变作用面积。, Shift右击以开关排斥功能。\n右击更改作用范围。.
item.evilcraft.vengeance_ring.info,Might attract or summon Vengeance Spirits.\nShift + Right click to toggle boost.,可能会吸引或召唤复仇之魂 \nShift+右击开关,可能会吸引或召唤复仇之魂 \nShift右击以开关增益效果。
item.evilcraft.vengeance_ring.info.status,Status: %s,状态: %s,状态：%s
item.evilcraft.vengeance_focus,Vengeance Focus,复仇之焦,复仇聚焦核心
item.evilcraft.vengeance_focus.info,Right click to enable Vengeance Spirit-freezing beam.,右击灵魂施加封印，会使附近的空灵魂箱会吸收灵魂。,右击产生可冻结复仇之魂的光束。
item.evilcraft.vengeance_pickaxe.info,Might summon Vengeance Spirits.,可能会召唤复仇之魂,可能会召唤复仇之魂。
item.evilcraft.burning_gem_stone,Burning GemStone,灼烧暗黑宝石块,灼烧暗黑宝石
item.evilcraft.burning_gem_stone.info,Passively converts Vengeance Spirit damage to hunger.,被动地将复仇之魂的伤害转换为饥饿值消耗。,将复仇之魂的伤害转换为降低饥饿值。
item.evilcraft.creative_blood_drop,Creative Blood Drop,创造血源,创造模式血滴
item.evilcraft.creative_blood_drop.info,Creative mode only item to drain and fill infinite amounts of Blood.,创造模式使用无限血液,创造模式专用物品，可提供无限血液。
item.evilcraft.dark_spike,Spike,针管,尖刺
item.evilcraft.exalted_crafter,Exalted Crafter,末影合成包,崇高合成包
item.evilcraft.exalted_crafter_wooden,Wooden Exalted Crafter,木制合成包,木制崇高合成包
item.evilcraft.exalted_crafter_empowered,Empowered Exalted Crafter,强化末影合成包,充能崇高合成包
item.evilcraft.exalted_crafter_wooden_empowered,Empowered Wooden Exalted Crafter,强化木制合成包,充能木制崇高合成包
item.evilcraft.necromancer_staff.info,Summon hordes of zombies.,召唤一群僵尸,召唤一群僵尸。
item.evilcraft.bound_blood_drop,Bound Blood Drop,绑定的血滴,绑定血滴
item.evilcraft.bound_blood_drop.info,Right click to bind with your Blood Magic soul network.,右击绑定你的血魔法网络。,右击与血魔法模组的灵魂网络绑定。
item.evilcraft.bound_blood_drop.info.current_owner,Current owner: %s,现在的所有者：%s,当前所有者：%s
item.evilcraft.resurgence_egg.info.content,Contents: %s,内容：%s,存有：%s
item.evilcraft.promise_tier_1.info,"Machine tier upgrade, also usable for lower tier recipes. Tank capacity x2.",机器升级，血液容量x2。,机器等级升级，兼容低级配方。血液容量x2。
item.evilcraft.promise_tier_2.info,"Machine tier upgrade, also usable for lower tier recipes. Tank capacity x4.",机器升级，血液容量x4。,机器等级升级，兼容低级配方。血液容量x4。
item.evilcraft.promise_tier_3.info,"Machine tier upgrade, also usable for lower tier recipes. Tank capacity x8.",机器升级，血液容量x8。,机器等级升级，兼容低级配方。血液容量x8。
item.evilcraft.promise_speed_0.info,Machine speed x2,机器速度 x2,机器速度x2
item.evilcraft.promise_efficiency_0.info,Machine Blood efficiency x1.5,血能机器效率 x1.5,机器血液效率x1.5
item.evilcraft.bowl_of_promises_empty,Bowl of Empty Promises,空血能碗,空诺言碗
item.evilcraft.bowl_of_promises_dusted,Dusted Bowl of Promises,装满粉末的血能碗,装满粉末的诺言碗
item.evilcraft.bowl_of_promises_tier0,Bowl of Promises: Tier 0,血能碗：0级,诺言碗：0级
item.evilcraft.bowl_of_promises_tier0.info,Not used up in crafting.,合成中不会用尽。,诺言碗本身在合成中不会消耗。
item.evilcraft.bowl_of_promises_tier1,Bowl of Promises: Tier 1,血能碗：1级,诺言碗：1级
item.evilcraft.bowl_of_promises_tier1.info,Not used up in crafting.,合成中不会用尽。,诺言碗本身在合成中不会消耗。
item.evilcraft.bowl_of_promises_tier2,Bowl of Promises: Tier 2,血能碗：2级,诺言碗：2级
item.evilcraft.bowl_of_promises_tier2.info,Not used up in crafting.,合成中不会用尽。,诺言碗本身在合成中不会消耗。
item.evilcraft.bowl_of_promises_tier3,Bowl of Promises: Tier 3,血能碗：3级,诺言碗：3级
item.evilcraft.bowl_of_promises_tier3.info,Not used up in crafting.,合成中不会用尽。,诺言碗本身在合成中不会消耗。
item.evilcraft.blood_waxed_coal,Blood-Waxed Coal,血蜡煤,覆血煤
item.evilcraft.blood_waxed_coal.info,Double your coal efficiency.,双倍燃烧效率,效率是煤炭的两倍。
item.evilcraft.ender_tear,Ender Tear,末影人之泪,末影之泪
item.evilcraft.ender_tear.info,Rare drop from Endermen.,末影人的稀有掉落。,末影人的稀有掉落物。
item.evilcraft.blood_potash,Blood Potash,染血骨粉,血液钾肥
item.evilcraft.blood_potash.info,Double your bonemealing efficiency.,双倍效率,效率是骨粉的两倍。
item.evilcraft.bucket_eternal_water.info,An infinite source of water.,无限水源,无限水源。
item.evilcraft.promise_acceptor_iron,Iron Promise Acceptor,铁之诺言接收器,铁质诺言容器
item.evilcraft.promise_acceptor_gold,Gold Promise Acceptor,金之诺言接收器,金质诺言容器
item.evilcraft.promise_acceptor_diamond,Diamond Promise Acceptor,璀璨诺言接收器,钻石诺言容器
item.evilcraft.origins_of_darkness.info,Obtain by feeding a Darkened Apple to a mob and quickly throwing a Book at the resulting anomaly.,通过喂动物一个黑苹果然后快速向其死后的灵魂之门内扔一本书得到,将黑苹果喂给动物，会使其死亡并打开灵魂之门。向门内扔一本书即可获得本书。
item.evilcraft.veined_scribing_tools,Veined Scribing Tools,静脉划线工具,笔与血
item.evilcraft.effortless_ring,Effortless Ring,迅捷指环,助步指环
item.evilcraft.condensed_blood.info,Insert into any machine for extra Blood.,放入机器中当作血液使用。,放入机器中以获得额外血液。
item.evilcraft.primed_pendant.info,Applies the chosen potion effect.,产生选定的药水效果。,施加选定的药水效果。
item.evilcraft.primed_pendant.potion,§7Effect: %s (%s),§7效果：%s (%s),§7效果：%s（%s）
item.evilcraft.biome_extract.info,Transforms the target area to the contained biome. Crafted in Environmental Accumulator at desired biome.,将目标群系转换为所含生物群系，在相应生物群系中的环境存储器上制作。,将目标区域的群系转换为所含生物群系。在对应生物群系中的环境蓄积器中制作。
item.evilcraft.environmental_accumulation_core,Environmental Accumulation Core,环境存储器核心,环境蓄积核心
item.evilcraft.environmental_accumulation_core.info,Obtained when breaking a regular Environmental Accumulator.,破坏常规的环境存储器时可以获得。,破坏常规的环境蓄积器时获得。
item.evilcraft.mace_of_destruction,Mace of Destruction,毁灭之锤,毁灭重锤
item.evilcraft.vengeance_essence_materialized,Materialized Vengeance Essence,实体复仇精华,具现化复仇精华
item.evilcraft.piercing_vengeance_focus,Piercing Vengeance Focus,穿刺复仇之焦,穿刺复仇聚焦核心
item.evilcraft.piercing_vengeance_focus.info,Right click to enable Vengeance Spirit-killing beam.,右击产生光束杀伤复仇之魂,右击产生可杀伤复仇之魂的光束。
item.evilcraft.spikey_claws,Spikey Claws,尖爪,尖刺爪
item.evilcraft.spikey_claws.info,Effective against soft materials,对软材料很有效,对柔软的材料很有效
item.evilcraft.powerable.set_power,Set power to %s,设置功率为：%s,强度设置为%s
item.evilcraft.powerable.info.power,Power: %s,功率等级：%s,强度：%s
item.evilcraft.powerable.info,Shift + Right click to change power level.,Shift+右击改变功率等级。,Shift右击以变更强度等级。
weather_container.evilcraft.clear,My only sunshine,我唯一的阳光,My only sunshine
weather_container.evilcraft.rain,When the rain begins to fall,当雨滴开始落下,When the rain begins to fall
weather_container.evilcraft.lightning,Thunderstruck,雷暴降临！轰隆隆！,Thunderstruck
key.evilcraft.fart,Toggle Farting,开关放屁模式,开关放屁
key.evilcraft.exaltedCrafting,Open Exalted Crafter,打开合成包,打开崇高合成包
enchantment.evilcraft.breaking.desc,Your tools break faster,你的工具很快就会坏掉,工具损坏得更快
enchantment.evilcraft.life_stealing.desc,Steal health from attacked mobs,从被攻击怪物身上偷取生命,从被攻击的生物身上偷取生命
enchantment.evilcraft.unusing.desc,Tools become unusable when having one durability left,当仅剩1耐久值时工具将无法使用,当仅剩1耐久值时，工具将无法使用
enchantment.evilcraft.poison_tip.desc,Damaged mobs get poisoned,被攻击怪物将中毒,被攻击的生物将中毒
enchantment.evilcraft.vengeance.desc,Using a tool will spawn Vengeance Spirits,使用工具将召唤复仇之魂,使用工具将生成复仇之魂
chat.evilcraft.command.farting_enabled,Farting enabled,开启放屁模式,激活放屁
chat.evilcraft.command.farting_disabled,Farting disabled,关闭放屁模式,禁用放屁
death.attack.evilcraft.die_without_any_reason,%1$s dies without any apparent reason!,%1$s 毫无缘由的死了！,%1$s死的毫无缘由！
death.attack.evilcraft.distorted,%1$s couldn't handle the amount of distortion anymore.,%1$s 无法活在扭曲里。,%1$s再也受不了这种扭曲了。
death.attack.evilcraft.spiked,%1$s was killed by spikes.,%1$s 被针扎死！,%1$s被尖刺扎死了。
death.attack.evilcraft.paling,%1$s faded away.,%1$s 消逝了。,%1$s消逝了。
death.attack.evilcraft.broom,%1$s was run over by a broom.,%1$s 被扫帚扫过。,%1$s被扫帚碾过去了。
death.attack.evilcraft.broom.player,%1$s was run over by %s on a broom.,%1$s 被%s 的扫帚扫过。,%1$s被%s的扫帚碾过去了。
death.attack.evilcraft.vengeance_beam,%1$s was evaporated by a Vengeance Beam.,%1$s 被复仇光束蒸发了。,%1$s被复仇光束蒸发了。
biome.evilcraft.degraded,Degraded,堕落,退化
advancement.evilcraft.evil_source,A True Source of Evil,邪恶起源,真正的邪恶之源
advancement.evilcraft.evil_source.desc,Obtain a copy of the Origins of Darkness by throwing a book into the anomaly resulting from feeding a Darkened Apple to an animal.,通过喂动物一个黑苹果然后快速向其死后的灵魂之门内扔一本书得到黑暗起源。,将黑苹果喂给动物，会产生异常现象。向其中丢入一本书即可获得黑暗起源的副本。
advancement.evilcraft.fart.desc,Finally release all of those nasty gases.,卧槽好屁。,总算把臭气排干净了。
advancement.evilcraft.first_age.desc,Discover the origins of the first evil age by mining some Dark Gems.,得到黑暗宝石。,通过挖掘到一些暗黑宝石来探究第一邪恶纪元的起源。
advancement.evilcraft.second_age.desc,Initiate the second evil age by crafting a Blood Extractor.,制造一个血能箱。,制造一个血液提取器来开启第二邪恶纪元。
advancement.evilcraft.master_distorter.desc,Distort over ten mobs at once with the Mace of Distortion.,一次用力场扭曲锤杀死超过10只生物。,使用扭曲重锤一次性扭曲至少10只生物。
advancement.evilcraft.spirit_cooker,Mob Chef,血腥厨师,生物料理大师
advancement.evilcraft.closure.desc,Use a Vengeance Focus to capture a Vengeance Spirit in a Box of Eternal Closure.,使用复仇之焦捕捉一个复仇灵魂。,使用复仇聚焦核心将复仇之魂捕获到永锢之匣中。
advancement.evilcraft.player_distorter,Player Distorter,扭曲玩家,玩家扭曲者
advancement.evilcraft.player_distorter.desc,Distort a player with the Mace of Distortion.,用力场扭曲锤杀死玩家。,用扭曲重锤扭曲玩家。
advancement.evilcraft.player_devastator,Player Devastator,毁灭玩家,玩家毁灭者
advancement.evilcraft.player_devastator.desc,Attack a player using zombies spawned from a Necromancer Staff.,用死灵法师权杖召唤僵尸杀死玩家。,使用死灵法师权杖召唤僵尸攻击玩家。
advancement.evilcraft.power_crafting,Power Crafting,力量制造,高级合成
advancement.evilcraft.power_crafting.desc,"Craft an Exalted Crafter, craft-ception!",制造充能的末影合成包！,制作一个崇高合成包，合成套合成!
advancement.evilcraft.cannibal.desc,Eat some Humanoid Flesh.,试试吃点人肉。,吃点人肉。
gui.exalted_crafting,Exalted Crafting,便携合成,尊崇合成
gui.exalted_crafting.toggle_return,Toggle Return Target,切换返回模式,切换返还目标
gui.waila.tank_config,Tank contents,液体含量,储罐内容
gui.waila.inner_blocks_config,Actual inner blocks,容器内物品,内部实际方块
gui.waila.box_of_eternal_closure_config,Box of Eternal Closure contents,永恒的灵魂箱所含灵魂,永锢之匣内容
gui.nei.fluids,Fluids,液体,流体
broom.evilcraft.shiftinfo,<Shift for broom info>,<按下Shift以查看扫帚信息>,<按住Shift以查看扫帚信息>
broom.parts.evilcraft.shiftinfo,<Shift for broom parts info>,<按下Shift以查看扫帚部件信息>,<按住Shift以查看扫帚部件信息>
broom.parts.evilcraft.rod_bone,Bone Rod,骨杆,骨头杆
broom.parts.evilcraft.rod_bamboo,Bamboo Rod,竹竿,竹杆
broom.parts.evilcraft.cap_slime,Slime Cap,史莱姆端,黏液端
broom.modifiers.evilcraft.shiftinfo,<Shift for broom info>,<按下Shift以查看扫帚信息>,<按住Shift以查看扫帚信息>
broom.modifiers.evilcraft.types.nameparam,Modifiers (%s/%s):,强化（%s/%s）:,强化（%s/%s）：
broom.modifiers.evilcraft.type.withershield,Wither Shield,凋零护盾,凋灵护盾
broom.modifiers.evilcraft.type.sturdyness,Sturdyness,坚固性,稳固性
info_book.evilcraft.preface.text1,"It would seem this world holds more than meets the eye. There are things I will conclude in this book, my writings of acquired knowledge of the obscurity that resides here. I have discovered a dark way of living with the creatures of this world. “&oWhat evil will come of this&r”, I ask myself? “&oEvil lurks in every corner&r”, I hear a dark voice within me reply. I have discovered a few secrets within this vast world of silly villagers and zombies, something their puny minds will never comprehend.",这个世界远不止我看到的那样，这就是我要在这本写着我浅显知识的书里说的。我发现了一种黑暗的方式和这个世界的生物一起生活。 “&o这会造成什么邪恶&r”，我问自己。 “&o反正邪恶潜伏在各个角落&r”，黑暗的角落传来心声。我发现了这广阔世界的一些秘密，一些愚蠢的村民和僵尸永远不可能理解的秘密。,这个世界远比表面所见更为深邃。我将在此书中总结关于这些潜藏于世间的晦暗存在的知识。我发现了一种与世间生命相处的独特方式，一条偏离正道的黑暗之路。“&o这将招致何等邪恶&r”，我扪心自问。“&o邪恶蛰伏于每个角落&r”，我心底的黑暗之声回应道。在这个充斥着愚昧村民与僵尸的广袤世界里，我窥见了某些他们渺小心智永远无法理解的奥秘。
info_book.evilcraft.preface.text2,"Many kinds of magic exist in this world, but the kind you can achieve with &4Blood&0 seems different. I've noticed people cutting themselves for obtaining &4Blood&0, I prefer to spare my strength for some other things...",这个世界已经存在着很多种魔法，但与这种使用 &4血液&0 来实现的魔法似乎有所不同。我注意到有人为了得到&4血液&0而割伤自己，但我更想把精力放到别的方面。,这个世界早已存在着多种魔法，但这种使用&4血液&0达成的魔法似乎有所不同。我注意到有人为了&4血液&0选择割伤自己，但我更想把精力放到别的方面。
info_book.evilcraft.structure,&oStructure&r,&o构成&r,&o结构&r
info_book.evilcraft.structure.text1,"This book is split into two major parts, for the two ages of evilness I like to classify everything in. I consider everything before my coming to this world as the &1First Age&0, and my life's work the &1Second Age&0.",这本书分为两部分，我把这世界原来所有的一切分为&1第一纪元&0，而我的一生的事业便是&1第二纪元&0。,本书分为两大部分，对应我划分的两个邪恶纪元。那些在我降临尘世前便已存在的事物，我将其归入&1第一纪元&0。而我的毕生心血，则属于&1第二纪元&0。
info_book.evilcraft.structure.text2,"You can navigate through this book by clicking on the arrows at the bottom, shift clicking will flip through whole sections instead of single pages. At the start of large sections you will see a content table which will contain hyperlinks to its subsections for faster browsing. When you come across recipes, the items that are explained in this book are clickable as a fast reference to the section they are explained in. You will also notice a button at the top left of this book, which will take you to the section above your current one. The button at the top right corner will go back to the previously visited page each time when clicked.",你可以点击这本书底部的箭头来浏览这本书，按住Shift点击可以翻一整段。在每章的开头会有包含这章所有小节的浏览链接. 这本书所给出的合成表是可以点击的，通过点击可以快速参考它所在的小节。点击书左上角的按钮可以回到当前小节的上一个章节目录。,可点击本书底部的箭头来翻阅，按住Shift点击可按小节跳转。各章起始处设有目录，包含该章所有小节的跳转超链接，以便于快速定位。本书中配方显示的物品可直接点击，快速跳转到其所在小节。左上角的按钮可返回当前小节的上级目录。右上角的按钮可返回上一浏览页面。
info_book.evilcraft.first_age.new_world,A Strange New World,第一纪元,奇异新世界
info_book.evilcraft.first_age.new_world.introduction,Introduction,介绍,序言
info_book.evilcraft.first_age.new_world.introduction.text,"I have discovered several strange new things lately. They all give off some eerie vibe, the longer I am around those things, the more I feel accustomed to it... Not all of these things might be very useful right away, but I might have some ideas to use them for something else.",最近我发现了一些奇怪的新东西。它们都发出一些阴森恐怖的氛围，我在这些东西旁边呆的时间越长，我就越习惯于这些……虽然现在这些东西不是所有的都非常有用，但是我有一些利用它们的想法。,近来，我发现了一些奇异的新事物。它们都散发着某种诡谲的气息，越是接触这些存在，我竟越发习以为常……尽管这些发现未必能即刻派上用场，但我已萌生出将其另作他用的构想。
info_book.evilcraft.first_age.new_world.darkened_apple.text,"As you are reading this book, you might have already come across this item. Combining an &1Apple&0 and a &1Dark Gem&0 results in a special &1Apple&0 that when eaten inflicts large amounts of damage for a certain time. If the entity dies because of this effect, it will leave behind some kind of anomaly. I have yet to discover any uses for this phenomenon...",当你读这本书的时候你可能已经发现了这个东西。将一个&1苹果&0和一个&1暗黑宝石&0结合得到一个特殊的&1苹果&0，吃掉它就会在一段时间内造成大量伤害。 如果生物因为这种效果死亡，还会在死亡点留下某种异常。我到现在还没有发现这种现象的用处……,在阅读本书时，你可能早已发现了这个物品。将一个&1苹果&0与一颗&1暗黑宝石&0结合，得到一个特殊的&1苹果&0，食用后，会在一定时间内受到大量伤害。若实体因该效果死亡，会在原地留下某种异常。我还未能发现这种现象的用处……
info_book.evilcraft.first_age.new_world.evil_dungeon.text,"While caving, I occasionally encounter these grim rooms with &4Blood&0 spread all over the floor. These &4Blood&0 traces are probably caused by the battles of previous explorers with the countless mobs inhabiting these dungeons.",在探测洞穴的时候，我偶尔会遇到一些&4血液&0洒满地板的狰狞的房间。这些&4血液&0的痕迹可能是以前的探险家与无数的怪物在这作战时留下的。,在探索洞穴时，我偶尔会遇到一些地板上满是&4血液&0的狰狞房间。这些&4血液&0痕迹可能是以前的探险家与地牢中无穷无尽的怪物战斗时留下的。
info_book.evilcraft.first_age.new_world.dark_temple,Dark Temple,黑暗神庙,暗黑神庙
info_book.evilcraft.first_age.new_world.dark_temple.text1,There seem to be certain structures in this world that were built by some kind of ancient civilization that was able to infuse certain environmental powers into items. These processes however seem to degrade the natural balance of the environment the more this process is used. This is possibly the main reason why that civilization isn’t around anymore today...,这些有着一定结构的建筑似乎是由某种古老的文明建造，通过它可以向物品中注入特定的环境能量。看起来这个方法会随着使用破坏环境的平衡。这可能也是现在这个古老文明不再存在的原因……,世界上存在着一些似乎是由某种古老的文明建造的建筑，通过它可以向物品注入特定的环境能量。然而随着进行次数的增加，环境的自然平衡似乎也在逐渐退化。这很可能正是该文明最终消亡的原因……
info_book.evilcraft.first_age.new_world.dark_temple.text2,Using &1Dark Gems&0 I was able to enhance existing &1Glass Bottles&0 to be able to contain environmental weather. Throwing such a &1Weather Container&0 inside the core of such a temple will absorb the current weather into the bottle.,使用&1暗黑宝石&0就能强化&1玻璃瓶&0使它能够容纳天气。向神庙的核心扔这些天气容器，就能吸收当前的天气，装入瓶内。,利用&1暗黑宝石&0，我得以强化&1玻璃瓶&0，使它能够容纳环境天气。将这种&1天气容器&0投掷到神庙核心处，就能将当前的天气吸收入瓶内。
info_book.evilcraft.first_age.new_world.dark_temple.text3,"I also discovered that certain items can be empowered using the special properties of thunderstorms. These items can also be empowered when they are directly struck by lightning, but it seems very unlikely to predict where lightning is going to strike, or is it...?",我发现某些物品可以通过雷暴天气的特殊性能充能。这些物品可以通过被直接雷击充能，但是被闪电直接命中似乎不太可能，还是说……？,我还发现某些物品可利用雷暴天气的特殊性质进行充能。而当这些物品被闪电直接击中时也能获得充能，但预测闪电会劈中哪里似乎不太可能……真的是这样吗？
info_book.evilcraft.first_age.new_world.dark_temple.text4,"These temples seem emit some kind of energy, maybe I can find some way to detect this and discover new temples in the world?",这些神庙似乎都发散出某种能量，也许我可以找到一种方法检测它并用于发现新的神庙？,这些神庙似乎能散发出某种能量，也许我可以想办法检测这种能量，并以此来寻找新的神庙？
info_book.evilcraft.first_age.new_world.weather_container_benefits,Weather Container Benefits,天气容器用处,天气容器的用处
info_book.evilcraft.first_age.new_world.weather_container_benefits.text,"Weather that is contained in these bottles can be reactivated when the bottles are thrown against something. But instead of breaking them, it might be more interesting to use them to craft several other neat items.",在瓶子中的天气会在瓶子扔出破碎后激活。但相比于破坏这些瓶子，使用它们制造一些其他的物品似乎更有趣。,在瓶子中的天气会在瓶子被扔出砸碎后激活。但相比于破坏这些瓶子，使用它们来制造一些其他物品似乎更有趣。
info_book.evilcraft.first_age.new_world.biome_extract,Biome Extract,群系提取,群系要素
